Compare,Icon,Name,Type,Element,PATK,MATK,PDEF,MDEF,TOTAL,COST,Colo Skill,C. Aid Skill
Compare,,"Tome of the Palace
宮殿の書",Tome,,2672,2668,1644,1596,"8580
(Lv140)",19,"落城ノ呪術/生(Ⅲ)
Reduce the physical DEF and magical DEF of 1-2 enemies by a moderate amount. Between the Start of Colosseum & 5 Minutes before it ends, Increase Effects.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Memory of the Phoenix
火鳥の記憶",Instr.,,2903,2733,1385,1540,"8561
(Lv140)",19,"The Passion of the Gladiator (III)
Increase the physical ATK and magical DEF of 1-2 allies by a great amount.","Destroy Weapon (II)
Fixed chance to moderately reduce enemy's physical ATK and magical ATK while providing backup."
Compare,,"Vodyanoy・Tail
ヴォジャノーイ・テール",Polearm,,2304,3042,1578,1646,"8570
(Lv140)",19,"Mist of Sorcery (III)
Deal great magical damage to 1-2 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ飛沫ヲ呼ブ(For Whom The Bell Splashes)] is active.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Rotting Footsteps
腐怨な足音",Ranged,,2547,2997,1419,1593,"8556
(Lv140)",19,"Evil Gale of Defense (III)
Deal great magical damage to 1 enemy, and decrease their magical DEF by a small amount.","M.DEF Debuff (II)
Fixed chance to moderately reduce enemy's magical DEF while attacking."
Compare,,"Sea God's Club
海王の棍棒",Hammer,,2951,2663,1543,1414,"8571
(Lv140)",19,"Hailstorm of Defense (IV)
Deal great physical damage to 1-2 enemies, and decrease their physical DEF by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Garnet Blade
柘榴石の刀",Blade,,3042,2378,1598,1570,"8588
(Lv140)",19,"Flames of Assault (IV)
Deal massive physical damage to 1 enemy, and increase own physical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Staff of Writings (Death Calamity)
著述の杖(死禍)",Staff,,3693,3937,3422,3513,"14565
(Lv140)",28,"Blessed Gospel (VI)
Heal 3-4 allies by a moderate amount of HP.","Recovery Support (IV)
Fixed chance to massively increase HP recovered while healing."
Compare,,"Thorn Princess' Wish (Death Calamity)
茨姫の願い杖(死禍)",Staff,,3939,3796,3465,3370,"14570
(Lv140)",28,"Angel's Breath (VI)
Heal 3 allies by a great amount of HP, and recover their SP by 50.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Harp of the Tested (Death Calamity)
試される竪琴(死禍)",Instr.,,4530,4702,2593,2740,"14565
(Lv140)",28,"Sage’s Gospel (VI)
Increase the magical ATK and magical DEF of 3 allies by a great amount.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Flute of the Virgin's Snare (Death Calamity)
処女の誘惑笛(死禍)",Instr.,,4801,4406,2726,2629,"14562
(Lv140)",28,"Champion's Harmony (VI)
Increase the physical ATK and physical DEF of 3 allies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Otherworld Magic Herbs Complete Collection (Death Calamity)
異界魔草大全(死禍)",Tome,,4810,4805,2555,2407,"14577
(Lv140)",28,"復讐の腐蝕(Ⅴ)
Reduce the physical ATK and magical ATK of 1-2 enemies by a massive amount, 1.5x effect when at a disadvantage.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Tome of the Hunting God's Magical Guidance (Death Calamity)
狩猟の神の魔導書(死禍)",Tome,,4416,4881,2500,2765,"14562
(Lv140)",28,"Exorcist's Incantation (VI)
Reduce the magical ATK and magical DEF of 3 enemies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Forbidden Box of False Convictions (Death Calamity)
妄執の禁箱(死禍)",Focus,,4128,5019,2707,2724,"14578
(Lv140)",28,"魔絶の烈火(Ⅶ)
Deal great magical damage to 2-3 enemies.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Adabana's Dream (Death Calamity)
徒花の夢(死禍)",Focus,,4713,4806,2504,2554,"14577
(Lv140)",28,"Lightning Twin Songs (VI)
Deal great magical damage to 1-3 enemies. Increase Combo Count by +10 when comboing.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Bow of the Flower Bee (Death Calamity)
花蜜蜂の弓(死禍)",Ranged,,4532,4803,2553,2668,"14556
(Lv140)",28,"魔絶の突風(Ⅵ)
Deal enormous magical damage to 1 enemy.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Crossbow of Crimson Thorns (Death Calamity)
深紅茨の弓(死禍)",Ranged,,4316,4701,2741,2791,"14549
(Lv140)",28,"Fire Technique of the Twin Songs (VI)
Deal colossal magical damage to 1 enemy. Increase Combo Count by +10 when comboing.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Moon Goddess' Naginata (Death Calamity)
月神の薙刀(死禍)",Polearm,,4324,4807,2675,2747,"14553
(Lv140)",28,"魔滅の滝波(Ⅶ)
Deal colossal magical damage to 1-3 enemies.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Goddess of Creation's Spear (Death Calamity)
創造女神の槍(死禍)",Polearm,,4418,4884,2596,2669,"14567
(Lv140)",28,"魔絶の烈火(Ⅶ)
Deal great magical damage to 2-3 enemies.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Ash Princess' Rage (Death Calamity)
灰姫の憤怒(死禍)",Hammer,,4707,4525,2742,2590,"14564
(Lv140)",28,"破壊の竜巻(Ⅶ)
Deal colossal physical damage to 1-3 enemies.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Hammer of Illusionary Flowers (Death Calamity)
惑いの花槌(死禍)",Hammer,,4881,4308,2726,2661,"14576
(Lv140)",28,"崩壊の滝波(Ⅶ)
Deal great physical damage to 2-3 enemies.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Greatsword of Crimson Royalty (Death Calamity)
深紅高貴な大剣(死禍)",Blade,,4712,4530,2672,2637,"14551
(Lv140)",28,"Flaming Pursuit (VI)
Deal colossal physical damage to 1 enemy. Increase Combo Count by +10 when comboing.","群雄割拠(壱)
When using Weapon Skills, Fixed chance to increase the effect's number of targets by +1 ※This Effect Increase skill has a maximum activation limit of 1"
Compare,,"Greatsword of the Fairies Rondo (Death Calamity)
妖精輪舞の大剣(死禍)",Blade,,4806,4313,2730,2709,"14558
(Lv140)",28,"崩壊の突風(Ⅵ)
Deal enormous physical damage to 1 enemy.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Writer's Dilemma
物書きの悩乱",Focus,,3100,3500,1700,1700,"10000
(Lv1)",1,"勇猛ナ生者ノ呪法
Deal great magical damage to 1-3 enemies. Increase Combo Count by +5 when comboing.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Staff of Creation
創造の杖",Staff,,2700,2700,2300,2300,"10000
(Lv1)",1,"勇猛ナ生者ノ錫杖
Heal 3 allies by a moderate amount of HP.","Recovery Support (IV)
Fixed chance to massively increase HP recovered while healing."
Compare,,"A Sorrowful Tale
ありふれた物語",Tome,,3500,3500,1500,1500,"10000
(Lv1)",1,"勇猛ナ生者ノ術式
Reduce the physical ATK and magical ATK of 2-3 enemies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Toxic Spouse's Whisper
毒婦の囁き",Instr.,,3500,3500,1500,1500,"10000
(Lv1)",1,"勇猛ナ生者ノ楽奏
Increase the physical ATK and magical ATK of 2-3 allies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Spear of the Sea's Dominance
海支配の槍",Polearm,,3100,3500,1700,1700,"10000
(Lv1)",1,"勇猛ナ生者ノ槍突
Deal great magical damage to 1-3 enemies. Increase Combo Count by +5 when comboing.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Bow of Self-Denial
自己犠牲の弓",Ranged,,3100,3500,1700,1700,"10000
(Lv1)",1,"勇猛ナ生者ノ銃撃
Deal colossal magical damage to 1 enemy, and increase own magical ATK by a small amount.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Angel's Club
天使の棍棒",Hammer,,3500,3100,1700,1700,"10000
(Lv1)",1,"勇猛ナ生者ノ戦鎚
Deal great physical damage to 1-3 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ風ヲ呼ブ(The Bell Sounds a Storm)] is active.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Black-Cloaked Lady
黒衣の淑女",Blade,,3500,3100,1700,1700,"10000
(Lv1)",1,"勇猛ナ生者ノ剣戟
Deal colossal physical damage to 1 enemy. Increase Combo Count by +10 when comboing.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Inferno Club
焦熱の棍棒",Hammer,,4145,3241,2139,1982,"11507
(Lv140)",24,"業焔の纏牙(Ⅴ)
Deal great physical damage to 1-3 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ火花ヲ呼ブ(The Bell Sounds a Wildfire)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Staff of the Holy Maiden's Remains
聖女の遺杖",Staff,,3037,3238,2570,2657,"11502
(Lv140)",24,"破撃の萌芽(Ⅵ)
Heal 2-3 allies by a great amount of HP, and increase their physical ATK by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Harp of the Death-Engraved Key
終焉の鍵琴",Instr.,,3968,3560,2110,1894,"11532
(Lv140)",24,"英傑の夢想曲/終曲(Ⅳ)
Increase the physical ATK and physical DEF of 1-3 allies by a moderate amount. Increase Skill Effects at 5 Minutes Remaining.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Gun of Hypocritical Justice
偽善正義の銃",Ranged,,3737,4091,1812,1891,"11531
(Lv140)",24,"Evil Gust of Assault (V)
Deal colossal magical damage to 1 enemy, and increase own magical ATK by a small amount.","乾坤一擲/銃撃(参)
When Attacking, Chance to get a moderate amount of inochi(lifeforce). ※Increased Power with more Ranged in Main Grid (Small ~ Massive)"
Compare,,"Axe of Stormy Seas & Windy Waves
荒波風浪の斧",Hammer,,3873,3280,1951,1828,"10932
(Lv140)",23,"崩壊の滝波(Ⅴ)
Deal great physical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Medicinal God's Benevolence
薬神の慈愛",Staff,,3080,2967,2527,2361,"10935
(Lv140)",23,"身護の萌芽(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their physical DEF by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Vapor Guitar
蒸気ギター",Instr.,,3817,3673,1717,1714,"10921
(Lv140)",23,"Hero's Harmony (IV)
Increase the physical ATK and magical ATK of 1-3 allies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Bow of Frozen Wings
氷翼の弓",Ranged,,3225,3919,1831,1950,"10925
(Lv140)",23,"魔絶の流水(Ⅴ)
Deal colossal magical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Scythe of Revolving Lights
輪灯の鎌",Polearm,,3128,4202,1980,2229,"11539
(Lv140)",24,"Hells of Sorcery (V)
Deal great magical damage to 1-3 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ火花ヲ呼ブ(The Bell Sounds a Wildfire)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Sealed Ocean
封印した海",Focus,,3411,4144,1895,2063,"11513
(Lv140)",24,"Evil Hail of Leeching (V)
Deal great magical damage to 1-3 enemies, and recover a small amount of own HP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Tome of the Frost Giant
霜降る巨人の書",Tome,,3560,3958,1934,2060,"11512
(Lv140)",24,"破魔ノ呪術/死(Ⅳ)
Reduce the magical ATK and magical DEF of 1-3 enemies by a moderate amount. Increase Skill Effects at 5 Minutes Remaining.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Blade of Deduction
断決の短剣",Blade,,4208,2922,2233,2168,"11531
(Lv140)",24,"Icicle of Leeching (V)
Deal colossal physical damage to 1 enemy, and recover a small amount of own HP.","乾坤一擲/剣戟(参)
When Attacking, Chance to get a moderate amount of inochi(lifeforce). ※Increased Power with more Blades in Main Grid (Small ~ Massive)"
Compare,,"Brushing Naginata
梳る薙刀",Polearm,,3452,3814,1719,1956,"10941
(Lv140)",23,"魔絶の竜巻(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"A Sweet, Sweet Trap
甘い甘い罠",Focus,,2776,3983,1955,2208,"10922
(Lv140)",23,"魔絶の烈火(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Tome of the Sealed Cursed Stone
呪石の封本",Tome,,3749,3807,1632,1743,"10931
(Lv140)",23,"Incantation of Corrosion (IV)
Reduce the physical ATK and magical ATK of 1-3 enemies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Greatsword of the Heart
心臓の大剣",Blade,,3757,3539,1886,1752,"10934
(Lv140)",23,"崩壊の燈火(Ⅴ)
Deal colossal physical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Loved One's Comb
思い人の櫛",Focus,,3643,4026,1848,1985,"11502
(Lv140)",24,"陣風の纏魔(Ⅴ)
Deal great magical damage to 1-3 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ風ヲ呼ブ(The Bell Sounds a Storm)] is active.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Fiddle of the Waves
潮騒のフィドル",Instr.,,3639,4022,1891,1981,"11533
(Lv140)",24,"妖術師の譚詩曲(Ⅴ)
Increase the magical ATK of 2-3 allies by a massive amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Cold-Blooded Slash
切り裂く冷血",Polearm,,3241,4136,1929,2229,"11535
(Lv140)",24,"Evil Hail of Assault (V)
Deal great magical damage to 1-3 enemies, and increase own magical ATK by a small amount.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Commemoration Gun of Inquisition
探究の記念銃",Ranged,,3106,3599,1733,1914,"10352
(Lv140)",22,"魔絶の燈火(Ⅴ)
Deal colossal magical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Renowned Wine's Miracle
銘酒の奇跡",Staff,,3407,2926,2663,2516,"11512
(Lv140)",24,"Angel’s Death Rattle (V)
Heal 2-3 allies by a great amount of HP. Between The Start of Colosseum & 5 Minutes before it ends, Recover 10sp with every use.","Recovery Support (IV)
Fixed chance to massively increase HP recovered while healing."
Compare,,"Tome of Count Bat's Curse
蝙蝠伯爵の呪いの書",Tome,,4091,3727,1888,1805,"11511
(Lv140)",24,"折剣ノ病魔(Ⅴ)
Reduce the physical ATK of 2-3 enemies by a massive amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Unwavering Splendor
揺るがぬ威光",Blade,,3968,3640,1990,1936,"11534
(Lv140)",24,"風刃の追撃(Ⅴ)
Deal colossal physical damage to 1 enemy. Increase Combo Count by +5 when comboing.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Commemoration Coffin of Restriction
束縛の記念棺",Hammer,,3705,2897,1914,1842,"10358
(Lv140)",22,"Wind God's Force (V)
Deal great physical damage to 1-3 enemies, and decrease their physical ATK and magical ATK by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Calamitous Blades of Pride (Ura-Shin Uchi)
傲慢ノ禍剣(裏シンウチ)",Blade,,3134,2549,1622,1334,"8639
(Lv140)",20,"Glacial Defense (IV)
Deal massive physical damage to 1 enemy, and decrease their physical DEF by a small amount.","P.DEF Debuff (II)
Fixed chance to moderately reduce enemy's physical DEF while attacking."
Compare,,"Commemoration Club of Delusion
虚妄の記念棍",Hammer,,3257,3051,1847,1662,"9817
(Lv140)",20,"Inferno Onslaught (IV)
Deal great physical damage to 1-2 enemies, and decrease their physical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Gold Craving Hammer of Violence
暴力の金欲槌",Hammer,,2925,2313,1523,1232,"7993
(Lv140)",17,"Gale of Destruction (III)
Deal great physical damage to 1-2 enemies.","Dauntless Courage (I)
Fixed chance to slightly increase damage while attacking."
Compare,,"Commemoration Coffin of Hellfire
業火の記念棺",Instr.,,3707,3042,1915,1691,"10355
(Lv140)",22,"戦人の奇想曲(Ⅳ)
Increase the physical ATK of 1-3 allies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Phoenix Wing Lantern
不死翼のランタン",Focus,,3107,3658,1779,1846,"10390
(Lv140)",22,"吸血ノ烙印(Ⅴ)
Deal great magical damage to 1-3 enemies, and recover 10 SP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Staff of Souls
魂の杖",Staff,,3183,2898,2193,2086,"10360
(Lv140)",22,"破撃の萌芽(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their physical ATK by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Book of Raindrops
雨雫の書",Tome,,3658,3596,1619,1487,"10360
(Lv140)",22,"Incantation of Corrosion (IV)
Reduce the physical ATK and magical ATK of 1-3 enemies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"The Fairies' Rose Flute
妖精の薔薇笛",Instr.,,3251,3651,1841,1614,"10357
(Lv140)",22,"Sage’s Gospel (IV)
Increase the magical ATK and magical DEF of 1-3 allies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Inferno Essence
魔焔の心髄",Polearm,,2896,3649,2009,1767,"10321
(Lv140)",22,"炎獄の纏魔(Ⅳ)
Deal great magical damage to 1-2 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ火花ヲ呼ブ(The Bell Sounds a Wildfire)][怒号ハ炎熱ノ加護トナル(Combustive Blessing)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Epic of Lamentations
唄う哀哭",Ranged,,3258,3704,1696,1732,"10390
(Lv140)",22,"龍脈ノ痕(肆)
Deal colossal magical damage to 1 enemy, and recover 70 SP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Battleaxe of Discord
不和の戦斧",Hammer,,3707,3100,2043,1543,"10393
(Lv140)",22,"雪月の纏牙(Ⅳ)
Deal great physical damage to 1-2 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ飛沫ヲ呼ブ(For Whom The Bell Splashes)][囁キハ流水ノ加護トナル(Aqueous Blessing)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Blade of the Candlestand's Life
命の燭台剣",Blade,,3658,2896,1944,1880,"10378
(Lv140)",22,"龍脈ノ咢(肆)
Deal colossal physical damage to 1 enemy, and recover 70 SP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Protector of Deep Green
深緑の守護者",Blade,,3263,2989,1830,1733,"9815
(Lv140)",21,"崩壊の突風(Ⅴ)
Deal colossal physical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Assassin of the Rising Tide
潮汐の暗殺者",Polearm,,2862,3324,1799,1848,"9833
(Lv140)",21,"魔絶の滝波(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Gravekeeper's Diary
墓守の日誌",Tome,,3057,3254,1766,1729,"9806
(Lv140)",21,"枷鎖ノ呪術/生(Ⅲ)
Reduce the physical ATK and physical DEF of 1-2 enemies by a moderate amount. Between the Start of Colosseum & 5 Minutes before it ends, Increase Effects.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Encaptured Fool
囚われの愚者",Focus,,3268,3331,1558,1673,"9830
(Lv140)",21,"Inferno of Exorcism (IV)
Deal massive magical damage to 1-2 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Gun of the Fire God
火神の銃",Ranged,,2867,3261,1804,1895,"9827
(Lv140)",21,"魔絶の燈火(Ⅴ)
Deal colossal magical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Flame King's Lost Love
炎王の遺愛",Hammer,,3331,2860,1830,1799,"9820
(Lv140)",21,"崩壊の烈火(Ⅴ)
Deal great physical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Tranquil Midnight
闃寂の子夜",Staff,,2862,3054,1903,1991,"9810
(Lv140)",21,"破撃の誓願(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their magical ATK by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Ancient Scriptures of the Reversed Coffin
逆柩の呪い詩",Instr.,,3057,3321,1825,1621,"9824
(Lv140)",21,"退魔師の受難曲/序曲(Ⅲ)
Increase the magical ATK and physical DEF of 1-2 allies by a moderate amount. Between the Start of Colosseum & 5 Minutes before it ends, Increase Effects.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Greatsword of Sharp Love
鋭愛の大剣",Blade,,3817,3368,1956,1791,"10932
(Lv140)",22,"吸命の終極(Ⅴ)
Deal colossal physical damage to 1 enemy, and 自身のHPを回復する.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Deception for the Night Visitor
夜訪騙し",Staff,,2903,2898,2382,2155,"10338
(Lv140)",22,"破撃の萌芽(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their physical ATK by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Tome of the Undersea Imprisonment
海底幽閉の書",Tome,,3761,2792,1910,1877,"10340
(Lv140)",22,"Incantation of Shackles (IV)
Reduce the physical ATK and physical DEF of 1-3 enemies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Holy Mother's Prayer
聖母の祈り",Instr.,,3680,3675,1796,1794,"10945
(Lv140)",23,"Hero's Harmony (IV)
Increase the physical ATK and magical ATK of 1-3 allies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Unnatural Mermaid
人魚の非業",Polearm,,3469,3596,1650,1648,"10363
(Lv140)",22,"魔絶の開闢(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
